DocURL	DocID	SentID	Reste von Hefezopf und Toast , oder Brötchen . Dazu zwischen jede Lage	Match	RC	N2Num	N2Typ	N1Lemma	N1Pl	LE
http://www.diebackstube.de/rezepte2/rez0132.htm	f588244789fa244c1ee8f730152d3169fcf4	4	Für den Belag die Äpfel und die Birnen schälen , halbieren und das Kerngehäuse mit dem Kartoffelbohrer herausstechen . Die Birnen in Viertel schneiden und die	Äpfelhälften	mehrmals einschneiden . Die Früchte sofort mit Zitronensaft beträufeln .	Pl	Ind	Apfel	U	1
http://www.bloggeramt.de/key-apfelbaum.html	fa49cadab3523569e77722b0d1679091bf0a	152	Man dünstet 4 oder 5 mittelgroße Äpfel und passiert sie . Dann rührt man 4 Dotter mit 4 Löffel Zucker mit Limonen= oder Pomeranzen = Schalen , mischt das	Äpfelmark	, den Schnee der 4 Klar und Brösel von 2 Kipfeln dazu und bäckt es in einer Form . Wein = Koch . Zu 4 Eiern nimmt man 4 Löffel voll von Zucker , Kipfelbrösel und guten Wein , befeuchtet mit diesen die Brösel , gibt sie zu den mit dem Zucker schaumig gerührten , Dottern , dann den Schnee dazu und bäckt es oder siedet es in Dunst .	Sg	Ind	Apfel	U	1
http://agso.uni-graz.at/marienthal/archiv/malicek_heinrich/kochbuch_baecken_resi/0_t.htm	ff7cd14d8300618e292a0ffe6a8d2bd3cb85	61	Wiederum für viele sehr interessant waren die Pfroffvorführung von Wolfgang Schmölz aus Essendorf und die Schneidevorführung an älteren Obstbäumen von Karin Freudenreich aus Weinstetten . Beide stellten wieder die	Äpfelausstellung	mit Obst von rund um Staig zusammen . So kamen wieder auf über 40 verschiedene Sorten zusammen .	Sg	?	Apfel	U	1
http://www.gizmodo.de/2010/04/08/das-ipad-zu-bauen-kostet-um-die-260-usdollar.html	61a53d4c2fece7a57f40604582144bb8eedd	38	Aber die Masse an Apple Artikeln ist schon eine richtige Spam-Welle , bitte AUFHÖREN . Scheinbar haben die	Äpfelmänner	viel Werbung geschaltet und dementsprechend wird auch berichtet . lalala 08 Apr 2010 , 15:08 " Gibt 's jetzt irgend jemand da draußen , der sich ordentlich aufregt ?	Pl	Ind	Apfel	U	1
http://www.schoeneich-chemnitz.de/reisen/pfalz/pfalz.htm	28e364d66124e200d8bf7391e35157a1cf40	53	Der Weg dahin war dann aber nicht ganz eben , unterwegs stand am Wegesrand ein Apfelbaum mit äußerst wohlschmeckenden Äpfeln . Daneben ein Pferd , Egbert fütterte es mit unseren	Äpfelresten	, er gewann einen neuen Freund . Bettina baute Aggressionen auf dem Spielplatz ab , Ulla behielt sie .	Pl	Ind	Apfel	U	1
http://www.titel-magazin.de/artikel/17/6079/kleine-tricks.html	e876c8a90ccad385219ac94c023e39796de4	33	Über etliche Umwege landet die Tüte schließlich bei dem Mann , für den sie gedacht war , ohne dass dieser sich durch das Geschenk gedemütigt fühlen muss . Ein andermal bescheren die beiden einem erfolglosen	Äpfelverkäufer	Kundschaft . Weitgehend wortlos beobachten die Geschwister - und mit ihnen die Kamera - diese kleinen , von ihnen initiierten Alltagswunder .	Sg	Ind	Apfel	U	1
http://reisekladde.de/Reiseberichte/Tneuseeland.htm	8ff51be6ebe5253a35ecbea71c268990ef05	132	Wir fahren an großen Obstgärten vorüber . Die	Äpfelbaume	hängen voller saftiger Braeburn . Der HWY 8 trifft bei Milton auf den HWy 1. " Viel Verkehr " stellen wir fest und fahren in Lake Waihola ein Motel , da es dunkel wird , bleiben wir hier .	Pl	Ind	Apfel	U	1
http://www.schulministerium.nrw.de/docs/Internationales/Europa-UNESCO-Schulen/Europaschulen-in-NRW/Schulportraits/Europaschule-Bornheim/index.html	6d36a6d0f84580b666620e158a50eb04a20e	1	Login : Nicht angemeldet . Rietberg.de durchsuchen : Choose your language : International Abschließend : Aktuelles RSS-Feed Kontakt Service Stadtplan Impressum . Registrieren | Anmelden | Rechtliche Hinweise | Bürgerbüro der Stadt Rietberg Rathausstraße 36 33397 Rietberg Telefon : 05244 / 986 - 111 oder -0 Fax : 05244 / 986 - 400 Mail : emailblank Web : uriblank Öffnungszeiten : Montag und Freitag 8:00 - 13:00 Uhr Mittwoch 8:00 - 16:00 Uhr Dienstag und Donnerstag 8:00 - 18:00 Uhr Samstag 10:00 - 12:00 Uhr Europaschule Bornheim - 40 Nationalitäten unter einem Dach Orientierungsbereich ( Sprungmarken ) Zum Hauptinhalt Zu Inhalten nach Themen ( Navigationsbereich ) Zur Suche Zum Impressum Mein Konto Service Themen Impressum Das Bildungsportal : Internationales Navigation ein / aus Auslandsschuldienst Schüleraustausch Lehreraustausch Schulpartnerschaften EU-Programme Ausländische Abschlüsse Europa - / UNESCO-Schulen Europaschulen in NRW Zertifizierung Schulportraits UNESCO-Projektschulen Auslandspraktika Kooperationen Benelux Unterrichtsmaterial Von Arnd Zickgraf Der Eingangsbereich der Europaschule Bornheim " Wir wollen verhindern , dass Europa nur als Normierungsinstanz für	Äpfelgrößen	angesehen wird " , sagt Klaus Breil , Rektor der Europaschule in Bornheim , an die Adresse der Skeptiker gerichtet , die Europa für ein abstraktes und belangloses staatliches Gebilde halten . Das Europa , das in den Köpfen seiner Schülerinnen und Schüler heranreifen soll , ist kein bürgerferner Verwaltungskoloss .	Pl	Ind	Apfel	U	1
http://www.yellopet.de/hunde-beitrag-27150.htm	979e9668f566effcd933d557c04ba027c8b0	19	Diese Fettverteilung ist genetisch bedingt : Männer setzen Fett meist am Bauch an , Frauen häufig an den Oberschenkeln und am Po . Die Medizin bezeichnet Menschen mit Bauchansatz liebevoll als	Äpfeltyp	und solche mit breiten Hüften als Birnentyp . Zu den gefährlichsten Fettdepots zählen die Fettzellen , die sich am Bauch sammeln .	Sg	Ind	Apfel	U	1
http://www.orient4all.de/topic,3394,-federfaecher---wer-kann-mir-da-weiterhelfen%3F%3F.html	28896fafcc1c11a5cee8a9239a5cb8911a45	63	Es gibt auch Platten zweiterwahl die habe ich damals genommen , sieht man nicht . Als Unterbau habe ich einen ganz festen Karton z.B. von Orangen - oder	Äpfelkauf	genommen ( Tip von Enussah ) dann eine richtige Heißklebepistole , nicht eine von den kleinen sondern die wo man richtige Brandblasen bekommt . Den Trägerkarton auf etwas kürzer als Spanischer Fächer zuschneiden und anmalen oder mit Stoffbeziehen die die Federn später haben .	Sg	Ind	Apfel	U	1
http://allrecipes.de/rezept/1838/gedeckter-apfelkuchen.aspx	6edc962991c07fe59af873fb566a1e073d9b	15	Die Ränder der Form sollen fast bis oben mit dem Teig bedeckt sein . 5 . Die	Äpfelmischung	in die Form füllen und das restliche Teigdrittel kreisförmig ausrollen . Den Teig als Deckel auf die Äpfelmischung legen und am Rand zusammendrücken , so dass die Äpfelmischung ganz vom Teig eingeschlossen ist .	Sg	Ind	Apfel	U	1
http://www.natur-5seenland.de/Jahreslauf/siebenschlaefer.htm	833938a6a2bf6c240542951d4e4323bcd3d2	31	Das mag dazu beitragen , dass er oft zum Kulturfolger im extensiven Gartenbau geworden ist . Außerdem ist es in den Häusern kuschelig warm , und dann findet er da auch so manche Vorräte , an denen er sich ebenfalls laben kann , wie Dörrobst ,	Äpfelvorräte	, Speck und viele andere Leckereien . Leider entdecken die Poltergeister auch zielsicher den Spalt in der Wand - oder Deckenisolierung , den sie sogleich mit Ihren scharfen Nagezähnen bearbeiten und erweitern .	Pl	Coll	Apfel	U	1
http://www.akweb.de//ak_s/ak419/33.htm	55e2524a3bd5c5f0a81b1260538771147556	25	Vom Himmel fallen mehr Bomben als der gebrauchte Regen , Das muss so sein schließlich gab die Welt euch ihren Segen Ihr kämpft ja für das Gute , ihr kämpft ja für die Menschheit , Ihr wollt doch nur das Öl , denn Geld , nur Geld befreit . Ihr seid die Luftpiraten im falschen Garten ,	Äpfeldiebe	im fernen Land , Cowboys mit Hut , - " you enjoy every day " - Beklaut die ganze Welt singt vom American Way . Eure Arroganz gefallen , zusammen mit euerm Stolz , Mit der ganzen Welt am heulen .	Pl	Ind	Apfel	U	1
http://mobile.chefkoch.de/rezepte/m390421126430613/Apfelkuchen-mit-Mandeldecke.html	17b84c05309a6b40603d5e64d27e4bac92ef	16	Dann weiterhin guten Hunger . Ist ja gerade	Äpfelzeit	! LG Markus BioMarkus · 09.11.2007 14:33 Uhr Nochmal hallo , und danke für die schönen Bilder !	Sg	Ind	Apfel	U	1
http://www.fahrzeuglackiererforum.de/archive/hvlp-vs-lvlp-t5967.html	3fa9ac7eb6fbc36cf67d0671a387bd106e34	112	:hyenas: Schließlich kann ich nur das an Meinung vertreten welche ich selbst persönlich gesammelt habe Mein Fazit : jeder soll mit dem lackieren wonach ihm is . Ich bin kein SATA vorbeter ... die haben halt einen guten > Ruf < :P Hier von Äpfeln und	Äpfelvergleich	zu sprechen kling für mich eher ... ich habe ein 5 er Golf der genausogut fährt wie ein BMW 6 er . Tja alles nur eine Ansichtssache .	Sg	Coll	Apfel	U	1
http://www.myfitnessblog.de/startseite/home....	a8480374d96d2a80c5d0690e69cc04dadd45	330	Ich finde das recht praktisch . Bea 06.02.2011 , 15.16 | ( 2 / 0 ) Kommentare ( RSS ) | TB | PL | einsortiert in : Sport | Tags : Fitness , online-kurs , Sport , Video , Camembert-Brötchen mit Möhrensalat Zutaten für 1 Person 100 g Möhren 125 g Äpfel Curry , Salz , Pfeffer 15 g Zitronensaft ca. halbe Zitrone ) 5 ml Olivenöl etwas Zucker 10 g Salat-Körnermischung 60 g Vollkornbrötchen 10 g Schmand 25 g Camembert ( 45 % ) Möhren und Äpfel putzen und raspeln . Zitronensaft , Öl , Zucker Curry , Salz , Pfeffer verrühren und über mit den Möhren und	Äpfelraspeln	vermischen . Die Salatkörner hacken und über den Salat verteilen .	Pl	Ind	Apfel	U	1
http://freilesen.de/werk_Hans-Christian_Andersen,Maerchensammlung,3739,71.html	0b13ce171fa4c143a18e3fde8a9ed81c2509	22	In der Symptomsprache , nach der die Kreative Homöopathie arbeitet , steht Akne für ' sich selbst nicht leiden können ' . Die	Äpfelallergie	bedeutet ' unterdrückte Sehnsucht nach Verführung und Leidenschaft ' . Die Patientin , Mutter zweier Kinder , war ihrem arbeitswütigen Ehemann ins benachbarte Ausland gefolgt .	Sg	Ind	Apfel	U	1
http://www.katzen-links.de/katzenforum2/archive/index.php/t-76562.html	0a11fc809f317522408520a9771ae4b8d81e	64	Mir ist das auch deutlich zu viel und für mich das extremste was ich bisher gesehen habe . Allerdings haben echte Siamesen nun mal kein	Äpfelköpfe	und Kulleraugen . Die Ohren sollen breit gesetzt sein und den Keil des Kopfes verlängern .	Pl	Ind	Apfel	U	1
http://rattarium.de/text/glossen/kernobst	2adaf1ee6b9dc4e7f9f033318f5e241e7c08	8	Dabei machte es für sie kaum einen Unterschied , ob es sich um einen Tennisball handelte , der stundenlang genüsslich durchgekaut wurde , wenn sich niemand fand , der das hundespeicheltriefende Ding werfen wollte , oder ob sie dazu im Garten Äpfel aufsammelte , um sie einem potenziellen Werfer vor die Füße zu legen . Die	Äpfelmanie	ging sogar soweit , dass sie sich das Obst von den niedrig hängenden Zweigen zupfte . Letztendlich hat sie diese Natur-Bälle dann alle aufgefressen .	Sg	Ind	Apfel	U	1
http://www.nickles.de/forum/off-topic/2011/apple-kontra-apfelkind-538852704.html	c3cc1708e487e296018e23475d7f327f50f4	42	Kauf dir ein Apfel , und zahle Applepatente gleich dazu . Ein Wunder , das die noch keine Klage gegen die	Äpfelbauern	erhoben haben . Hoffentlich geht der Laden möglichst bald , und möglichst schnell pleite !	Pl	Ind	Apfel	U	1
http://luckaer-lokalblatt.de/Chronik/Chronik-2001/1961-Lucka-vor-vierzig-Jahren.html	b60fa43fbeef1814664e5e703da2f0820db3	48	Die Kapsel mit vielen Dokumenten wird vom Klempner Schuricht verschlossen und durch Bürgermeister Zimmermann eingebracht . In Breitenhain wird erneut eine Sammelstelle zur	Äpfelannahme	bei Willy Viehweg eingerichtet . Am Ende der Altenburger Straße werden die Reste der Baracken der Schnauderbauer für Zwecke des DRK und der Grubenwehr ausgebaut .	Sg	Ind	Apfel	U	1
http://www.praxis-jugendarbeit.de/spielesammlung/spiele-bunter-abend-wettspiele.html	ddb63e473d438c79a4bd8eb437bd1367886b	135	Die zweite Person sitzt der ersten Person in einem Abstand von ca. 80 - 100 cm gegenüber , so dass mit ausgestrecktem Arm die Flasche gerade noch das Wasserglas erreichen kann . Kirschenessen Dieses Spiel geht analog dem	Äpfelspiel	- nur mit einer kleinen Abwandlung . In eine Schüssel kommen jeweils ca. 30 - 40 Kirschen .	Sg	Ind	Apfel	U	1
http://www.sandammeer.at/liebe/serpentina-holunder.htm	57d051b27f7d3ee5323ec3b418d8e86628dd	22	- Jeder Spieler erhält eine Spielfigur . - Die	Äpfelplättchen	und die Würfel kommen neben den Spielplan . Spielablauf : - Mit allen 4 Würfeln würfeln .	Pl	Ind	Apfel	U	1
http://wendland-net.de/event/1h4plfwzq0o0	19a6b480f35e3deed22aea6a432ea00bcfde	11	Die regionalen Umweltverbände informieren über die Bedeutung von Streuobstwiesen für den Naturschutz . Der Kriwitzer Lachapfelhof bietet verschiedene	Äpfelsorten	zum Kauf an . Und auch Honig und andere regionale Produkte können erworben werden .	Pl	Ind	Apfel	U	1
http://www.alltageinesfotoproduzenten.de/2009/10/01/bilderklau-im-internet-teil-2/comment-page-1	04ecf9640a26053a7ea80f54bfde7f5ef424	257	Das Recht besteht aber auch wenn die technischen Maßnahmen nicht ergriffen werden . Um beim	Äpfeldiebstahl	zu bleiben : wenn jemand auf mein Grundstück kommt , die Hürde ist niedrig ( Mauer = aufrufen der Website ) und dann Äpfel stiehlt , begeht dennoch Diebstahl . Da kann man nicht dran rütteln .	Sg	Ind	Apfel	U	1
http://www.schoene-muellerin.de/keltern.htm	527e0140199899e2e4c278c04bb72d92a69a	1	Ob Sie sich nun aus beruflichen oder privaten Gründen in Lübeck aufhalten , ob Sie für einen Urlaub oder einen Kongress anreisen , ob Sie Strand oder Kultur bevorzugen - wir tun alles , um Ihnen Ihren Aufenthalt in der Hansestadt Lübeck so angenehm wie möglich zu machen . Pache 's Gasthof , Steinrader Damm 42 , 23556 Lübeck , 0451 / 89 66 422 , Fax : 0451 / 399 18 57 * ein Service von Booking.com Apfelweinlokal " Zur schönen Müllerin " Ihr " Hessen a la carte " - Restaurant Home Links Kontakt Impressum Anfahrt Veranstaltungen Haftungsausschluss So wird das " Stöffche " gemacht - über das Keltern Mit dem Keltern darf man nicht zu früh beginnen , denn aus unreifen Äpfeln wird kein guter	Äpfelwein	. Der richtige Keltermonat ist der Oktober .	Sg	Ind	Apfel	U	1
http://www.apfelbaeumchen-nussloch.de/archiv_2002.htm	a609b339a5b4d6c54f171fcc937d3b8ed2d5	120	Dies unterstrich auch Frau Pape vom Landesjugendamt . Personal und räumliche Rahmenbedingungen müssten wie im	Äpfelbäumchen	stimmen , wenn Kleinkinder in großen Einrichtungen betreut werden . Dann allerdings würden die Kinder auch davon profitieren , wenn sie später in die regulären Kindergartengruppen kommen .	Sg	Ind	Apfel	U	1
